worker_x,A1TEEFJDPVEK0L,A2N1GA8PJDDA6P,A2Q51AC4E6I5ZB,A2Z4OTGC834F3Y,A348JKD82WQ6Z,A3OAQZM6Q3YJQ1,A3T2NTPGB3KNDS,A3W16X5D0VGU0E,AYKZJHEV29ZHL,AYUF9OHXQK2YT
A1TEEFJDPVEK0L,100.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,50.0,0.0
A2N1GA8PJDDA6P,0.0,100.0,0.0,0.0,0.0,100.0,-1.0,0.0,33.33333333333333,0.0
A2Q51AC4E6I5ZB,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
A2Z4OTGC834F3Y,0.0,0.0,100.0,100.0,100.0,100.0,-1.0,100.0,0.0,50.0
A348JKD82WQ6Z,0.0,0.0,0.0,100.0,100.0,66.66666666666666,-1.0,66.66666666666666,0.0,100.0
A3OAQZM6Q3YJQ1,0.0,100.0,0.0,100.0,66.66666666666666,100.0,-1.0,33.33333333333333,100.0,100.0
A3T2NTPGB3KNDS,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0
A3W16X5D0VGU0E,0.0,0.0,0.0,100.0,66.66666666666666,33.33333333333333,-1.0,100.0,0.0,50.0
AYKZJHEV29ZHL,50.0,33.33333333333333,0.0,0.0,0.0,100.0,-1.0,0.0,100.0,0.0
AYUF9OHXQK2YT,0.0,0.0,0.0,50.0,100.0,100.0,-1.0,50.0,0.0,100.0
