worker_id,paid,task_id,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,doc_index,doc_id,doc_statement,doc_explanation,doc_label,doc_truthfulness-1_value,doc_truthfulness-1_label,doc_truthfulness-1_index,doc_truthfulness-1_description,doc_explanation-quality_value,doc_truthfulness-2_value,doc_truthfulness-2_label,doc_truthfulness-2_index,doc_truthfulness-2_description,doc_truthfulness-2_justification,doc_truthfulness-2_url,doc_accesses,doc_time_elapsed,doc_time_start,doc_time_end,global_outcome,global_form_validity,gold_checks,time_spent_check,time_check_amount
A348JKD82WQ6Z,True,secondo_progetto_social_computing,statement_truthfulness,unit_9,1,1,Next,"Tue, 10 Jan 2023 14:31:13 GMT",2023-01-10 14:31:13 00:00,0.0,N_166632,Anne Rice was born in the United States of America.,"The claim is that Anne Rice was born in the United States of America. The evidence states that she was born in New Orleans and that New Orleans is a major United States port. Therefore, the claim is true.",SUPPORTS,5,true,5.0,,100.0,5,true,5.0,,Anne Rice was actually born in New Orleans,https://en.m.wikipedia.org/wiki/Anne_Rice,1.0,866.94,1673360207.0,1673361073.94,True,True,True,True,True
A348JKD82WQ6Z,True,secondo_progetto_social_computing,statement_truthfulness,unit_9,1,1,Next,"Tue, 10 Jan 2023 14:36:11 GMT",2023-01-10 14:36:11 00:00,1.0,G_166632,Anne Rice was born in the United States of America.,"Anne Rice was born in New Orleans, Louisiana, which is in the United States of America.",SUPPORTS,5,true,5.0,,100.0,5,true,5.0,,"Louisiana is a state of the US, and itâs biggest city is New Orleans",https://it.m.wikipedia.org/wiki/Louisiana,1.0,297.19,1673361073.94,1673361371.14,True,True,True,True,True
A348JKD82WQ6Z,True,secondo_progetto_social_computing,statement_truthfulness,unit_9,1,1,Finish,"Tue, 10 Jan 2023 14:39:41 GMT",2023-01-10 14:39:41 00:00,2.0,N_51526,Hush (2016 film) was produced by Jason Blum.,"The evidence says that the film was produced by Trevor Macy and Jason Blum. The claim says that the film was produced by Jason Blum. So, the answer must be false because the film was produced by Trevor Macy, not just Jason Blum.",REFUTES,5,true,5.0,,90.0,5,true,5.0,,"If we open the website, we can see in the paragraph âproducersâ the names of Jason Blum and Trevor Macy",https://en.m.wikipedia.org/wiki/Hush_(2016_film),1.0,210.1,1673361371.14,1673361581.23,True,True,True,True,True
A3OAQZM6Q3YJQ1,True,secondo_progetto_social_computing,statement_truthfulness,unit_5,1,1,Next,"Tue, 10 Jan 2023 13:56:08 GMT",2023-01-10 13:56:08 00:00,0.0,N_166632,Anne Rice was born in the United States of America.,"The claim is that Anne Rice was born in the United States of America. The evidence states that she was born in New Orleans and that New Orleans is a major United States port. Therefore, the claim is true.",SUPPORTS,5,true,5.0,,100.0,5,true,5.0,,Given the Britannica page we can say that Anne Rice was born in the USA,https://www.britannica.com/biography/Anne-Rice,1.0,62.26,1673358906.0,1673358968.26,True,True,True,True,True
A3OAQZM6Q3YJQ1,True,secondo_progetto_social_computing,statement_truthfulness,unit_5,1,1,Next,"Tue, 10 Jan 2023 13:57:00 GMT",2023-01-10 13:57:00 00:00,1.0,G_166632,Anne Rice was born in the United States of America.,"Anne Rice was born in New Orleans, Louisiana, which is in the United States of America.",SUPPORTS,5,true,5.0,,90.0,5,true,5.0,,Given the Enciclopedia Britannica we can state that anne rice was born in the USA,https://www.britannica.com/biography/Anne-Rice,1.0,52.24,1673358968.26,1673359020.49,True,True,True,True,True
A3OAQZM6Q3YJQ1,True,secondo_progetto_social_computing,statement_truthfulness,unit_5,1,1,Finish,"Tue, 10 Jan 2023 13:58:59 GMT",2023-01-10 13:58:59 00:00,2.0,N_51526,Hush (2016 film) was produced by Jason Blum.,"The evidence says that the film was produced by Trevor Macy and Jason Blum. The claim says that the film was produced by Jason Blum. So, the answer must be false because the film was produced by Trevor Macy, not just Jason Blum.",REFUTES,3,half-true,3.0,,61.0,3,half-true,3.0,,"Using wikipedia we can state that Hush was produced by Jason Blum and Trevor Macey, so the statement is half true.",https://en.wikipedia.org/wiki/Hush_(2016_film),1.0,118.57,1673359020.49,1673359139.06,True,True,True,True,True
A1TEEFJDPVEK0L,True,secondo_progetto_social_computing,statement_truthfulness,unit_4,1,1,Next,"Tue, 10 Jan 2023 14:06:51 GMT",2023-01-10 14:06:51 00:00,0.0,N_77465,Winter's Tale was released in 1987.,"The claim is that Winter's Tale was released in 1987. The evidence states that Winter's Tale is a 1983 novel by Mark Helprin. This is a novel, so it wasn't released in 1987. Therefore, the claim is false.",REFUTES,1,false,1.0,,72.0,0,lie,0.0,,"the evidence tells me that ""Winter's Tale is a 1983 magic realism novel by Mark Helprin""",https://en.wikipedia.org/wiki/Winter%27s_Tale_(novel),1.0,136.31,1673359475.0,1673359611.31,True,True,True,True,True
A1TEEFJDPVEK0L,True,secondo_progetto_social_computing,statement_truthfulness,unit_4,1,1,Next,"Tue, 10 Jan 2023 14:11:42 GMT",2023-01-10 14:11:42 00:00,1.0,N_166632,Anne Rice was born in the United States of America.,"The claim is that Anne Rice was born in the United States of America. The evidence states that she was born in New Orleans and that New Orleans is a major United States port. Therefore, the claim is true.",SUPPORTS,4,mostly-true,4.0,,74.0,5,true,5.0,,"the evidence tells me that ""Anne Rice, nata Howard Allen Frances O'Brien [1] ( New Orleans, 4 ottobre 1941 â Rancho Mirage, 11 dicembre 2021 ), Ã¨ stata una scrittrice statunitense"" so she was born in the USA",https://it.wikipedia.org/wiki/Anne_Rice,1.0,291.61,1673359611.31,1673359902.92,True,True,True,True,True
A1TEEFJDPVEK0L,True,secondo_progetto_social_computing,statement_truthfulness,unit_4,1,1,Finish,"Tue, 10 Jan 2023 14:12:31 GMT",2023-01-10 14:12:31 00:00,2.0,G_77465,Winter's Tale was released in 1987.,Winter's Tale was released in 2014.,REFUTES,1,false,1.0,,6.0,0,lie,0.0,,"the evidence tells me that ""Winter's Tale is a 1983 magic realism novel by Mark Helprin""",https://en.wikipedia.org/wiki/Winter%27s_Tale_(novel),1.0,48.58,1673359902.92,1673359951.5,True,True,True,True,True
A3T2NTPGB3KNDS,False,secondo_progetto_social_computing,statement_truthfulness,unit_3,1,1,Next,"Tue, 10 Jan 2023 11:56:11 GMT",2023-01-10 11:56:11 00:00,0.0,G_51526,Hush (2016 film) was produced by Jason Blum.,Hush (2016 film) was produced by Trevor Macy and Jason Blum.,REFUTES,3,half-true,3.0,,50.0,2,barely-true,2.0,,The statement was true but it does not give credit to Trevor's work,https://it.wikipedia.org/wiki/Pagina_principale,1.0,1592.84,1673350179.0,1673351771.84,False,False,False,False,False
